STATION,NAME,DATE,ACMH,ACSH,AWND,FMTM,PGTM,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,TSUN,WDF1,WDF2,WDF5,WDFG,WDFM,WESD,WSF1,WSF2,WSF5,WSFG,WSFM,WT01,WT02,WT03,WT04,WT05,WT06,WT07,WT08,WT09,WT11,WT13,WT14,WT15,WT16,WT17,WT18,WT19,WT21,WT22,WV01
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",6/2/1972,50,40,,,,0.1,0,0,,70,58,,250,,,,,,23,,,,,,,1,,,,,1,,,,,,1,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",6/3/1972,40,30,,,,0,0,0,,75,60,,180,,,,,,19.9,,,,,,,,,,,,1,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",6/4/1972,60,60,,,,0.4,0,0,,74,64,,180,,,,,,23,,,,,1,,1,,,,,1,,,,,,1,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",6/5/1972,60,50,,,,0,0,0,,79,64,,100,,,,,,16.1,,,,,,,,,,,,1,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",6/6/1972,90,100,,,,0.17,0,0,,68,61,,160,,,,,,14.1,,,,,,,,,,,,1,,,,,,1,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",6/7/1972,40,30,,,,0.03,0,0,,78,61,,360,,,,,,21.9,,,,,1,,,,,,,1,,,,,,1,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",6/8/1972,60,60,,,,0,0,0,,82,62,,240,,,,,,23.9,,,,,,,,,,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",6/9/1972,80,70,,,,0,0,0,,87,68,,240,,,,,,23.9,,,,,,,,,,,,1,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",6/10/1972,60,70,,,,0.09,0,0,,77,53,,310,,,,,,30,,,,,,,,,,,,1,,,,,,1,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",6/11/1972,30,30,,,,0,0,0,,71,50,,340,,,,,,21.9,,,,,,,,,,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",6/12/1972,70,80,,,,0,0,0,,72,55,,200,,,,,,23,,,,,,,,,,,,,,,,,,1,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",6/13/1972,100,100,,,,0,0,0,,71,61,,190,,,,,,15,,,,,,,,,,,,1,,,,,,1,,,,,,
